features,class
"[-3.45664917e+02  1.75518448e+02 -1.06841125e+02  3.20562220e+00
  2.55385284e+01 -5.33196297e+01 -1.14010525e+01 -2.32634640e+01
 -5.43864174e+01 -3.36373591e+00 -1.53950539e+01 -3.82757149e+01
  2.04150009e+00 -1.02720957e+01 -2.96506424e+01 -1.90003574e+00
 -7.99223518e+00 -1.46242990e+01  1.47611648e-01 -1.39244986e+01
 -1.49066648e+01 -1.13488483e+00 -1.25771961e+01 -9.44462585e+00
  1.45476198e+00 -8.95974445e+00 -7.72762775e+00 -2.12818432e+00
 -6.47471952e+00 -2.33784723e+00 -3.67178273e+00 -6.63718033e+00
  8.34201455e-01 -4.68004131e+00 -9.65207767e+00 -1.59942675e+00
 -5.89823961e+00 -7.93982124e+00  5.33708572e-01 -3.51997566e+00]",Number_5
"[-3.49693817e+02  1.87622986e+02 -8.99653854e+01  1.23632026e+00
  2.03491058e+01 -5.10554504e+01 -1.05869999e+01 -2.05781918e+01
 -4.97817383e+01 -1.96370745e+00 -1.23540792e+01 -3.55928612e+01
  5.60179591e-01 -9.47192478e+00 -2.75554142e+01 -3.13038301e+00
 -1.05651550e+01 -1.94669933e+01 -5.17176151e+00 -1.50061455e+01
 -1.44116344e+01  1.41041398e-01 -1.11129284e+01 -1.38891716e+01
 -5.27044773e+00 -1.14547291e+01 -9.99669933e+00 -3.92799163e+00
 -4.67096806e+00 -1.48261392e+00 -4.84569502e+00 -7.85678196e+00
 -1.66577303e+00 -6.24376249e+00 -8.86102104e+00 -8.17605734e-01
 -4.90477610e+00 -8.15680218e+00 -1.74364710e+00 -1.91350150e+00]",Number_5
"[-335.53543     173.96259    -111.73002       8.34381      25.684671
  -56.276543     -7.9105315   -22.748411    -54.800407      1.0288318
  -12.412264    -35.8948        3.4889755   -11.804311    -28.190098
   -1.5930841   -13.239688    -17.738913     -2.8928843   -18.313957
  -12.736486      0.9899931   -17.379122    -12.843294      0.8427394
  -11.331723    -10.428537     -3.996671     -7.206225     -2.4762235
   -4.359679     -6.920001     -0.60128945   -7.1755753    -9.353369
   -0.60145193   -6.5763803    -8.82355      -1.3531421    -2.6560733 ]",Number_5
"[-3.0481952e+02  2.1271788e+02 -6.2054962e+01  5.8300314e+00
  2.6372377e+01 -4.1067467e+01 -1.7170952e+01 -1.0291318e+01
 -1.7067621e+01  1.5831193e+01  4.2489667e+00 -1.1832501e+01
 -1.6219155e+00 -1.5631960e+01 -9.3538961e+00  2.2019143e+00
 -2.2632866e+01 -1.4042636e+01  4.6917033e+00 -1.5866237e+01
 -1.0921280e+01  2.2938824e+00 -1.5150940e+01 -1.0915604e+01
 -1.9659121e+00 -1.4477429e+01 -8.9520445e+00 -3.5817001e+00
 -1.1624322e+01 -3.5149605e+00  1.0897855e+00 -3.9611771e+00
 -1.4139840e-01 -3.6475260e+00 -7.9187703e+00 -1.7143755e+00
 -3.7624371e+00 -4.8715997e+00 -1.7931369e-01 -5.9758363e+00]",Number_5
"[-296.81537     231.94293     -60.062412      6.4428415    20.49337
  -42.70803     -10.145679    -13.332599    -21.286997     21.592743
    6.017867    -11.741918      0.38602436  -21.007986    -10.130771
    9.002418    -24.587461    -15.386913     11.290529    -17.616648
  -15.338259      6.4301105   -14.613793    -14.274684      0.34742674
  -13.166095    -10.840611     -2.6632118   -10.755547     -3.8069048
    2.7223368    -3.2284133    -1.1766944    -2.5926807    -6.0583196
   -2.1704626    -3.953896     -2.9334276    -0.3192964    -9.4849205 ]",Number_5
"[-308.27853     224.36972     -54.976463     -0.38306403    6.1787586
  -50.895947     -7.1110973     0.6708116   -23.073101      3.5921357
   -1.6351762   -12.535506     -0.7058729   -18.432648    -16.702543
    2.19532     -14.52673     -10.586539      4.251203    -16.031933
  -13.025594      5.740923     -6.5185337   -11.792462     -6.828036
  -10.464777     -5.476192     -6.2154846   -12.507187     -4.680119
   -4.0494275    -9.477026     -6.2408323    -8.396381     -5.9317164
    2.7998083    -2.879416     -5.5995946    -0.38613176   -6.260574  ]",Number_5
"[-320.85455     230.27214     -63.738983      2.105185     17.589827
  -45.296185     -7.822615     -7.0820565   -28.185596      6.1056685
    0.38870037  -14.612724     -3.6788971   -19.32147     -12.971171
    5.6182065   -16.230501    -13.149994      3.9645557   -13.640447
  -10.251964      2.8911264   -10.342528     -8.992508     -4.4262094
  -11.895531     -4.5239496    -4.3842597   -11.0398       -1.2190529
   -2.3245537    -7.784143      0.53408337   -2.7999127    -6.113393
    1.4199101    -3.459889     -6.141863     -1.0477301    -6.238741  ]",Number_5
"[-2.88862244e+02  2.25658020e+02 -6.49420776e+01  1.76851463e+00
  2.48773117e+01 -4.02285080e+01 -1.46530476e+01 -1.20423841e+01
 -1.69772110e+01  2.06067657e+01  6.28936338e+00 -1.07995386e+01
 -1.77423120e-01 -1.82630749e+01 -6.01819944e+00  1.26056385e+01
 -2.13757973e+01 -1.71431313e+01  7.61256123e+00 -1.62214661e+01
 -1.30055895e+01  6.64785004e+00 -1.39934235e+01 -1.31479206e+01
  1.83342004e+00 -1.20313721e+01 -1.04198475e+01 -1.96547699e+00
 -1.28973694e+01 -7.79102516e+00  3.50600600e+00 -1.58223915e+00
 -3.40607619e+00 -3.74573708e+00 -6.89486361e+00 -5.40250206e+00
 -5.55725670e+00 -3.81823444e+00 -1.62959647e+00 -7.16071606e+00]",Number_5
"[-3.06485352e+02  2.20515915e+02 -5.72415695e+01  3.10200477e+00
  1.67301178e+01 -4.73311043e+01 -1.41791639e+01 -9.71762371e+00
 -2.56912956e+01  4.36098862e+00 -1.94599009e+00 -1.35350981e+01
 -4.21774912e+00 -1.95724525e+01 -1.11698914e+01  2.93187022e+00
 -1.97060947e+01 -1.14438658e+01  4.47633314e+00 -1.60846806e+01
 -1.10440836e+01  3.53109431e+00 -8.85681438e+00 -8.78931904e+00
 -7.16733980e+00 -1.22962637e+01 -3.17376351e+00 -6.22484255e+00
 -1.14975195e+01  8.55373681e-01 -2.74086785e+00 -8.17664337e+00
  2.22613645e+00 -1.88634896e+00 -5.82192230e+00  1.11392820e+00
 -3.97273970e+00 -4.74364185e+00  1.00244775e-01 -6.39383793e+00]",Number_5
"[-314.31732     234.54349     -53.90511       1.2182373    16.22531
  -47.84131     -17.538347     -9.211019    -20.756414      7.904187
   -1.4941398   -13.51746      -3.3501806   -19.348211    -11.433413
    4.840578    -18.433031    -13.323774      4.9355702   -14.722457
  -13.663159      1.6143451    -8.25222      -8.763604     -5.8998384
  -11.673115     -5.62821      -6.814718    -10.597061     -1.048893
   -5.0626116    -9.151527      1.0907211    -2.826734     -6.315228
    0.8795274    -4.281694     -5.286419      0.48130202   -6.123226  ]",Number_5
"[-3.29049377e+02  2.27909210e+02 -4.76001663e+01  7.39597702e+00
  1.12373438e+01 -5.19244881e+01 -1.56800518e+01 -8.32682037e+00
 -2.29801693e+01  3.80248857e+00 -5.66379738e+00 -1.60569935e+01
 -5.23280525e+00 -1.77215252e+01 -6.68772030e+00  6.06727409e+00
 -1.64131184e+01 -7.59464455e+00  4.19365549e+00 -1.65101414e+01
 -8.63241577e+00  2.11956024e-01 -1.68783283e+01 -1.16311712e+01
 -7.57745457e+00 -1.47441711e+01 -2.65675044e+00 -2.44135237e+00
 -1.06205225e+01 -2.60750580e+00 -6.00748825e+00 -8.45571804e+00
  5.11907876e-01 -7.17110825e+00 -8.08696079e+00  2.30842519e+00
 -6.30094194e+00 -8.95057869e+00 -7.81253457e-01 -4.50657463e+00]",Number_5
"[-3.4658026e+02  2.3270155e+02 -4.6003418e+01  3.6596899e+00
  1.8288239e+01 -4.1104244e+01 -1.2903430e+01 -5.6009297e+00
 -1.9099478e+01  3.1974268e+00 -7.7652793e+00 -1.5172085e+01
  2.4357080e-02 -1.5546354e+01 -1.3392663e+01  8.7095946e-01
 -1.8009098e+01 -1.1854537e+01  3.1544161e+00 -1.6570335e+01
 -1.1917550e+01  5.0741711e+00 -9.0891581e+00 -1.3611793e+01
 -8.6625671e+00 -1.3389070e+01 -8.0474777e+00 -5.8808136e+00
 -8.8092136e+00 -2.4365945e+00 -6.2181296e+00 -1.0421930e+01
 -2.0358391e+00 -3.7830670e+00 -5.2063875e+00  1.2985042e+00
 -3.4876046e+00 -5.2408056e+00 -7.6874566e-01 -5.6341329e+00]",Number_5
"[-3.1473767e+02  2.2733211e+02 -5.7862068e+01  3.4878237e+00
  1.3145009e+01 -5.3995853e+01 -1.5817638e+01 -9.8988028e+00
 -2.8125168e+01  6.8027081e+00  1.9264827e+00 -1.3941050e+01
 -2.8783298e+00 -1.7402872e+01 -1.2582973e+01  2.6234350e+00
 -1.9543272e+01 -1.3771236e+01  4.5722733e+00 -1.4201068e+01
 -9.4862328e+00  5.9660602e+00 -8.5748758e+00 -7.8007126e+00
 -3.1656199e+00 -1.4821209e+01 -8.4102545e+00 -2.6230352e+00
 -7.6715689e+00 -5.7735562e-01 -3.4116483e+00 -1.1897154e+01
 -4.9773526e+00 -5.6659594e+00 -7.1156855e+00  2.6553867e+00
  6.9452509e-02 -4.5830531e+00 -9.8611057e-01 -5.1451759e+00]",Number_5
"[-3.1830743e+02  2.3857404e+02 -4.8722942e+01 -2.4387228e-01
  1.0018927e+01 -4.6734093e+01 -1.3621408e+01 -1.2380510e+01
 -2.7143303e+01  4.2228813e+00 -9.2613578e-01 -1.1094693e+01
 -5.0242257e+00 -2.0310549e+01 -7.6921711e+00  4.7610788e+00
 -1.9894764e+01 -9.3676262e+00  5.4199781e+00 -1.5418044e+01
 -7.3005733e+00  4.5240374e+00 -1.0077345e+01 -6.0582461e+00
 -5.4012184e+00 -1.5330061e+01 -5.8182545e+00 -5.7661505e+00
 -9.0580769e+00  8.9282811e-01 -8.1102381e+00 -1.1510706e+01
  4.0588546e+00 -2.5217676e+00 -7.5622110e+00  2.5502601e+00
 -4.4042134e+00 -6.2109699e+00  1.8175057e+00 -5.2536316e+00]",Number_5
"[-3.1866772e+02  2.2233435e+02 -3.7361237e+01 -5.0703442e-01
  8.1622438e+00 -4.0031696e+01 -1.1150395e+01 -1.2283083e+01
 -2.9152493e+01 -1.2068218e+00 -7.4544048e-01 -8.6387215e+00
 -5.9033570e+00 -1.9125097e+01 -5.6452417e+00  4.6963129e+00
 -2.1410561e+01 -1.3533721e+01  2.5242443e+00 -1.6251410e+01
 -9.8864288e+00  3.0087552e+00 -1.1289799e+01 -8.9879465e+00
 -4.8621297e+00 -1.4248861e+01 -8.3759212e+00 -7.8913059e+00
 -1.2032068e+01 -1.0366905e+00 -3.7271070e+00 -9.1246929e+00
  2.5271094e+00 -7.2042316e-02 -6.6587791e+00 -1.0839570e+00
 -5.8920774e+00 -6.7681322e+00  1.8431582e+00 -4.0775499e+00]",Number_5
"[-3.10014435e+02  2.19660889e+02 -6.00234604e+01  6.61127186e+00
  2.24984493e+01 -4.42132034e+01 -1.53646164e+01 -1.09627848e+01
 -1.88237896e+01  1.92307606e+01  9.20765495e+00 -1.09359417e+01
 -4.23776245e+00 -1.45027542e+01 -1.92817628e+00  4.44925308e+00
 -2.68911591e+01 -1.31940022e+01  6.14699364e+00 -2.07574043e+01
 -1.14815197e+01  6.75546932e+00 -1.69807262e+01 -1.48580265e+01
 -3.05143058e-01 -1.32357960e+01 -1.15307522e+01 -4.83060741e+00
 -1.05421200e+01 -3.11763358e+00  1.11332965e+00 -3.57737613e+00
 -8.92673314e-01 -4.58466101e+00 -7.94935465e+00 -3.05727386e+00
 -5.54137373e+00 -5.09322834e+00 -1.51136732e+00 -7.69302368e+00]",Number_5
"[-289.60947    239.08014    -60.318848    -1.1007037    6.113145
  -48.663956    -6.27864    -15.111926   -29.196735    12.358004
   -2.6897936  -14.492756     2.4043183  -18.34854     -8.640212
    8.070831   -19.475004    -7.4390035    5.6821165  -24.200926
   -9.021764     8.948414   -17.446066   -13.830876    -4.0787783
  -15.865626    -6.135867    -3.8044136  -11.855543    -0.9183677
   -5.571358   -11.932127     1.1513466   -4.761398    -9.051042
    2.509911    -6.989545   -11.569426     1.3242315   -2.5441527]",Number_5
"[-276.46332    212.50374    -39.85208     -8.111991    -3.8380985
  -44.653233    -5.945241    -8.219643   -22.368881     5.5559735
   -4.395792   -11.83707     -1.6554623  -18.31274     -6.6919494
    6.922054   -18.332474    -9.0028925    3.5723417  -20.105412
   -8.792099     5.1614194  -16.865196   -14.018101    -5.443019
  -14.916521    -6.298452    -3.9838276  -12.112465    -2.8452108
   -4.293756   -10.40008     -1.2161071   -5.8870664  -12.037349
   -4.9198675   -9.635774   -10.683529    -1.511264    -5.467785 ]",Number_5
"[-305.24133     211.81279     -37.298664     -1.6995035     7.073457
  -36.701927    -11.535714    -19.95209     -28.18648       4.880481
   -4.917059    -12.266839     -1.0706428   -19.053286     -4.6985
   13.682947    -19.613846    -16.869968      7.2168837   -13.503632
  -14.577825      0.6153676   -14.78447     -15.579362     -4.4297333
   -8.578007     -5.0976596    -5.421218    -10.29112      -0.8428972
   -2.1903656    -8.230143     -0.63343894   -5.2457085   -11.180594
   -3.0484028    -5.940405     -9.370415     -2.4493563    -4.8647146 ]",Number_5
"[-2.8669614e+02  2.3321194e+02 -6.2273758e+01  4.7267556e+00
  1.5157741e+01 -4.8771591e+01 -7.7674236e+00 -5.8982005e+00
 -2.0621735e+01  1.6771677e+01  6.6775875e+00 -9.3749685e+00
 -3.1695116e+00 -2.0758715e+01 -4.9377575e+00  7.0448313e+00
 -2.6736248e+01 -1.1380571e+01  1.0330990e+01 -1.9240355e+01
 -9.5396500e+00  9.0800648e+00 -1.5783478e+01 -1.2785744e+01
 -9.0189677e-01 -1.4980247e+01 -8.1433115e+00 -1.2785916e+00
 -1.0784451e+01 -3.5464003e+00  5.7698387e-01 -3.2407255e+00
  8.1667763e-01 -4.2066879e+00 -6.1062489e+00  3.6325192e-01
 -5.3524413e+00 -4.7144051e+00  2.2753079e-01 -1.0097131e+01]",Number_5
"[-3.27679565e+02  2.40906952e+02 -4.36495323e+01  5.59011412e+00
  9.51096630e+00 -4.39373856e+01 -1.02568169e+01 -1.86228676e+01
 -2.70689163e+01  1.09608536e+01 -8.34175777e+00 -1.97536488e+01
  7.74613500e-01 -1.44753046e+01 -3.23466372e+00  1.17728310e+01
 -2.13767738e+01 -1.43563519e+01  5.63322067e+00 -1.83910904e+01
 -1.30130625e+01 -3.19538593e-01 -1.87456570e+01 -1.02545204e+01
 -1.04993844e+00 -1.50531616e+01 -7.03723431e+00 -3.24936652e+00
 -1.29941444e+01 -2.90987229e+00 -4.57921654e-01 -7.80041933e+00
 -3.02813792e+00 -6.05784273e+00 -7.99629211e+00 -1.51443517e+00
 -7.29729557e+00 -7.60531425e+00 -2.44057342e-01 -5.13173819e+00]",Number_5
"[-3.36143677e+02  2.31740341e+02 -4.25938644e+01  5.01830959e+00
  3.64575315e+00 -4.59841652e+01 -8.46268845e+00 -1.86559067e+01
 -2.89066544e+01  1.17402563e+01 -5.49731970e+00 -1.66604156e+01
  3.50499511e+00 -1.57593126e+01 -7.36897850e+00  1.31090212e+01
 -1.51884985e+01 -1.17389879e+01  5.80552626e+00 -1.75495682e+01
 -1.21688671e+01  3.84024978e+00 -1.33727036e+01 -1.14771852e+01
 -4.45942688e+00 -1.45695477e+01 -7.62138033e+00 -3.46234059e+00
 -8.73564816e+00 -2.35273671e+00 -5.95854855e+00 -9.42237663e+00
 -9.40346599e-01 -8.02876091e+00 -1.13117189e+01 -8.98218453e-02
 -4.50357771e+00 -8.68944168e+00 -2.06431794e+00 -4.15170717e+00]",Number_5
"[-3.0367612e+02  2.2417888e+02 -4.9212692e+01  5.5959268e+00
  2.8563159e+00 -5.3649239e+01 -8.1514473e+00 -1.4896816e+01
 -3.3523006e+01  7.5585098e+00 -2.3057828e+00 -1.7214939e+01
 -3.2468808e-01 -1.2922043e+01 -4.8614902e+00  7.7587466e+00
 -1.7935808e+01 -9.3320084e+00  2.7328677e+00 -2.2651485e+01
 -1.1215358e+01  5.0419869e+00 -1.4684986e+01 -1.0985447e+01
 -4.7217956e+00 -1.7251789e+01 -9.6683407e+00 -4.9035435e+00
 -8.4801798e+00 -3.5012934e-01 -6.7456417e+00 -1.1258442e+01
  3.8538951e-01 -6.5630574e+00 -1.0340473e+01  1.6604165e+00
 -5.0478415e+00 -9.5954666e+00  2.3195189e-01 -2.8878646e+00]",Number_5
"[-338.51547    241.934      -44.524414     3.502952    12.763024
  -46.987534   -14.012066    -7.7822757  -27.075172    -1.548658
   -1.5551832   -8.911149    -6.7976227  -21.237206    -5.845471
    7.227465   -16.984331    -9.44714      2.4448512  -17.145622
   -9.958151    -1.2363362  -15.82225     -9.670666    -7.449583
  -16.617073    -4.4763784   -2.1135218   -9.817466    -3.0509174
   -5.837389    -6.956524     2.443423    -5.2353005   -7.522534
    1.6269975   -6.6310062   -9.366306    -1.1590654   -4.770735 ]",Number_5
"[-3.29976624e+02  2.48911255e+02 -4.88317833e+01  7.08488846e+00
  7.76323557e+00 -4.65748825e+01 -6.14383888e+00 -1.80746155e+01
 -3.07646637e+01  1.28701286e+01 -3.99160719e+00 -1.79963932e+01
 -1.08670628e+00 -1.81153793e+01 -3.57090187e+00  1.17825718e+01
 -2.23772430e+01 -1.17441835e+01  5.44741106e+00 -2.48893414e+01
 -1.45519009e+01  4.57589149e+00 -1.61284142e+01 -1.17995930e+01
 -4.78838062e+00 -1.82811470e+01 -1.01824675e+01 -6.64716578e+00
 -1.11266422e+01  7.82901347e-02 -4.50295925e+00 -9.09507751e+00
  2.48173094e+00 -6.72407961e+00 -1.23456545e+01  9.69369113e-01
 -4.29705763e+00 -9.74482536e+00 -1.45584500e+00 -3.17883301e+00]",Number_5
"[-3.6119293e+02  2.2717085e+02 -5.7650333e+01  9.4824972e+00
  1.0431743e+01 -4.8450142e+01 -1.9694363e+00 -9.8660707e+00
 -3.0159794e+01  1.1473492e+01 -2.2682104e+00 -1.9344646e+01
 -1.0261763e+00 -1.4976112e+01 -7.6103501e+00  6.6840506e+00
 -1.8795933e+01 -7.8002248e+00  7.3759198e+00 -2.0617630e+01
 -1.2251870e+01  4.4168677e+00 -1.5918306e+01 -1.2795192e+01
 -4.4702106e+00 -1.4884866e+01 -5.9535489e+00 -1.8174095e+00
 -9.0379715e+00 -1.6014429e+00 -3.9822178e+00 -7.6429358e+00
  1.5364016e+00 -4.8653283e+00 -8.1959057e+00  2.6008787e+00
 -2.2370515e+00 -6.4588051e+00 -2.2650789e-01 -2.4172807e+00]",Number_5
"[-3.0585541e+02  2.3112775e+02 -5.9990749e+01 -8.7163478e-01
  2.2790056e+01 -3.6253632e+01 -1.5499974e+01 -1.6829535e+01
 -1.7492058e+01  2.1436405e+01  3.3155098e+00 -1.3820538e+01
  1.0477544e-01 -1.5747829e+01 -7.1201882e+00  6.5700541e+00
 -2.3883575e+01 -1.4103596e+01  8.6921682e+00 -1.7514105e+01
 -1.3295222e+01  5.3277154e+00 -1.6490295e+01 -1.5774303e+01
 -9.7591317e-01 -1.2694230e+01 -1.0014343e+01 -2.0059378e+00
 -9.7870693e+00 -5.2284489e+00 -8.3658993e-01 -5.5611472e+00
 -2.0235209e+00 -3.3927147e+00 -6.9917202e+00 -2.1651936e+00
 -3.1321211e+00 -3.4227736e+00 -5.9601754e-01 -6.7001667e+00]",Number_5
"[-297.55228     224.58417     -43.07168      -1.7935158     9.974204
  -45.330986    -17.330643    -11.608358    -24.250721     -0.82240516
   -4.997607     -9.539163     -2.795963    -17.860077     -4.8053594
    7.546981    -18.248228    -11.715454      3.2928026   -14.998958
  -10.6790085    -1.3051938   -13.681516     -9.426303     -8.258639
  -16.43636      -5.350477     -2.6664653    -7.814149     -1.0398668
   -6.040053     -8.780195      1.3710254    -4.20021      -7.07189
    0.6992828    -6.1020865    -8.168805     -0.5737047    -3.5552375 ]",Number_5
"[-3.0475156e+02  2.1851366e+02 -4.5443813e+01 -2.3237181e+00
  1.0406913e+01 -4.0468761e+01 -9.8966370e+00 -1.0161406e+01
 -2.4811911e+01  3.9190140e+00 -1.5362356e+00 -1.2940103e+01
 -8.2278767e+00 -2.2181185e+01 -7.8975949e+00  5.3383498e+00
 -2.1798500e+01 -1.3212139e+01  6.2403574e+00 -1.3610831e+01
 -1.1219205e+01  5.4866511e-02 -1.3570408e+01 -1.0289895e+01
 -5.6366143e+00 -1.3413942e+01 -5.6260085e+00 -6.0115309e+00
 -1.2394932e+01 -1.6562266e+00 -2.6270704e+00 -7.1571960e+00
  1.5253438e+00 -3.9305162e+00 -8.1907339e+00  1.4370193e+00
 -1.5057828e+00 -3.6144207e+00  8.7958080e-01 -6.5129471e+00]",Number_5
"[-3.0162057e+02  2.3204265e+02 -6.3963711e+01 -5.4863567e+00
  1.0840450e+01 -5.1069977e+01 -1.3606138e+01 -4.4850235e+00
 -2.6685036e+01  2.9857423e-02  1.3905854e+00 -9.7672157e+00
 -7.0771790e+00 -2.0116430e+01 -8.8724413e+00  1.1841097e+00
 -2.1866158e+01 -1.0635172e+01  3.9534726e+00 -1.7016354e+01
 -9.0553951e+00  2.6521895e+00 -1.4123473e+01 -7.9672318e+00
 -1.6264102e+00 -1.3206411e+01 -4.9787703e+00 -3.7717183e+00
 -1.4370728e+01 -4.6809168e+00 -2.5787861e+00 -8.9799109e+00
 -1.0707939e+00 -1.8147659e+00 -5.6065316e+00 -2.7537121e-02
 -4.7536554e+00 -7.0294628e+00 -8.3640802e-01 -4.5393505e+00]",Number_5
"[-2.82268951e+02  2.31601929e+02 -6.64528503e+01 -1.33082695e+01
  1.34616613e+01 -5.03345795e+01 -1.92538471e+01 -2.95931888e+00
 -2.49991627e+01 -5.34000731e+00  2.65180326e+00 -2.81082368e+00
 -4.19354200e+00 -2.14600582e+01 -1.24671125e+01  1.72316551e+00
 -1.62427101e+01 -8.79711819e+00  5.10841513e+00 -1.38968735e+01
 -1.15950813e+01  1.36409092e+00 -8.72108078e+00 -8.52596188e+00
 -7.58643913e+00 -1.40412884e+01 -3.99126124e+00 -2.49838710e+00
 -9.05274487e+00 -9.56515223e-02 -2.82481813e+00 -1.13338385e+01
 -3.40841937e+00 -4.00120068e+00 -6.78542805e+00  2.29118609e+00
  1.63261950e-01 -5.26180935e+00 -3.12132287e+00 -7.01347160e+00]",Number_5
"[-300.6465      249.4299      -62.25585       1.2129192    16.729471
  -44.217445    -10.040104    -12.2419195   -20.427452     24.24405
    9.096042    -12.674017     -1.6323912   -18.427658     -7.550646
    6.9557695   -26.21516     -15.913744      8.013817    -19.097206
  -12.39357       7.9200964   -15.441412    -13.752045      0.9720259
  -13.614649    -11.219473     -3.5402398   -12.645299     -5.723343
    1.1230923    -4.0416403    -0.65221894   -1.7449838    -5.4222918
   -1.3175999    -4.1021113    -4.619856     -0.70171857   -7.526517  ]",Number_5
"[-289.147       215.80641     -72.35371      -3.7447317     4.7766886
  -59.200363     -7.4853973     0.48340598  -29.149652      1.2987683
    1.3201956   -10.906051     -0.559038    -16.036188    -13.8203125
   -1.5484705   -19.918985     -8.198635      8.157328    -13.601924
   -8.648598      4.3709536   -10.537508     -7.0731       -3.1077106
  -14.285246     -6.950972     -4.2988415    -8.469232      0.98526955
   -4.1062126    -9.774902      1.013084     -4.495278     -8.447391
    2.1437595    -3.2260368    -5.9637914     0.42500386   -8.524236  ]",Number_5
"[-312.07898     240.04529     -65.491905     -2.8481514     5.59583
  -55.023193     -3.9249792    -1.4845836   -30.71325       3.387126
    1.7823496   -12.2106695    -3.067584    -21.432644    -16.652508
    1.9453193   -16.23987      -8.367322      5.539073    -17.038406
  -10.030346      5.310095    -11.404806     -9.407667     -3.1606028
  -13.672033     -7.879043     -5.626149    -11.324879     -2.3773234
   -3.2070212    -8.033627     -2.0618086    -7.0102015    -6.2271667
    4.209443     -3.9413548    -8.272584     -0.96946144   -6.0451074 ]",Number_5
"[-3.0679984e+02  2.2977426e+02 -6.4442696e+01  1.2165629e+01
  2.9420797e+01 -4.4741928e+01 -1.6328617e+01 -1.0005303e+01
 -1.6465313e+01  2.0475876e+01  4.3118758e+00 -1.4670266e+01
 -9.0841848e-01 -1.4003351e+01 -7.7235737e+00  1.8958857e+00
 -2.5028166e+01 -1.2559019e+01  6.3263330e+00 -1.7517090e+01
 -9.2195625e+00  3.7272575e+00 -1.8711733e+01 -1.1910408e+01
 -1.4918989e-01 -1.4594576e+01 -8.9128609e+00 -3.9645498e+00
 -1.2741853e+01 -2.8691766e+00  5.8202124e-01 -6.1458168e+00
 -7.4657112e-01 -3.7840176e+00 -7.1506720e+00  4.9062565e-01
 -3.6896400e+00 -6.0498095e+00 -1.6776791e-01 -6.0679493e+00]",Number_5
"[-3.51755737e+02  2.40887436e+02 -5.46098900e+01  9.45995045e+00
  2.48311138e+01 -4.21156769e+01 -1.77564754e+01 -1.52653732e+01
 -1.95402718e+01  1.82032204e+01  4.02842045e+00 -1.31870842e+01
 -3.44176936e+00 -1.68782425e+01 -4.15605354e+00  5.20304775e+00
 -2.66183262e+01 -1.26989470e+01  8.73520756e+00 -1.82893639e+01
 -1.15923777e+01  4.25041723e+00 -1.81473694e+01 -1.36098051e+01
 -3.64514321e-01 -1.24533415e+01 -6.85696173e+00 -2.46764660e+00
 -1.30133533e+01 -5.23429489e+00 -2.84298509e-01 -3.84655643e+00
  2.37364507e+00 -1.74118280e+00 -6.74358225e+00  2.52204746e-01
 -3.10923791e+00 -4.68685007e+00  1.34718633e+00 -5.39836740e+00]",Number_5
"[-2.9157285e+02  2.2784598e+02 -5.4240517e+01  6.1502266e+00
  2.2839571e+01 -4.2852295e+01 -1.7519691e+01 -1.3057010e+01
 -1.7640696e+01  1.7631096e+01  4.0494194e+00 -1.3098169e+01
 -9.9073756e-01 -1.1906481e+01 -4.7485371e+00  9.1926205e-01
 -2.6177095e+01 -1.2785348e+01  4.1872864e+00 -1.9877802e+01
 -1.1294968e+01  2.4061701e+00 -1.7705774e+01 -1.0992912e+01
 -2.4876095e-01 -1.4334290e+01 -9.5552940e+00 -4.2851443e+00
 -1.2344742e+01 -5.3349528e+00 -9.6359390e-01 -3.2601361e+00
 -4.5967999e-01 -6.9462304e+00 -8.0189819e+00 -1.0047717e+00
 -7.0349727e+00 -6.5500164e+00 -5.4530364e-01 -8.8462610e+00]",Number_5
"[-3.3891272e+02  2.1654008e+02 -5.6101334e+01 -2.6554471e-01
  1.9454304e+01 -3.8310406e+01 -1.2036963e+01 -9.1894579e+00
 -1.7075640e+01  1.8653019e+01  8.6812315e+00 -1.2264002e+01
 -6.3745575e+00 -1.6228935e+01 -4.8042278e+00  4.9433150e+00
 -2.1756395e+01 -1.0131264e+01  9.4247818e+00 -1.6941536e+01
 -1.4929234e+01  3.0035172e+00 -1.2789953e+01 -1.1454482e+01
 -4.3203536e-01 -1.0967751e+01 -8.8483181e+00 -4.1375413e+00
 -1.0859403e+01 -4.5988698e+00  5.2654618e-01 -1.8911878e+00
  7.9138482e-01 -3.9618921e+00 -7.5958962e+00 -2.3912330e+00
 -4.6319966e+00 -3.8584452e+00  1.5391418e-01 -7.5497994e+00]",Number_5
